updated,positive,negative
2020-02-29 00:00:00,1,3
2020-03-03 17:40:00,3,29
2020-03-04 17:25:00,3,45
2020-03-06 09:30:00,3,64
2020-03-07 10:00:00,7,77
2020-03-08 10:00:00,14,100
2020-03-09 10:00:00,14,165
2020-03-10 10:00:00,15,213
2020-03-11 10:00:00,21,286
2020-03-12 10:00:00,30,317
2020-03-13 10:00:00,32,337
2020-03-14 11:00:00,36,420
2020-03-15 12:00:00,39,579
2020-03-16 10:51:00,51,689
2020-03-17 09:00:00,68,968
2020-03-18 08:00:00,75,1118
2020-03-19 08:00:00,88,1329
2020-03-20 08:00:00,114,2003
2020-03-21 08:00:00,137,2338
2020-03-22 08:00:00,161,2864
2020-03-23 08:00:00,191,3649
2020-03-24 08:00:00,209,4350
2020-03-25 09:00:00,266,5476
2020-03-26 08:00:00,317,6953
2020-03-27 09:30:00,414,8510
2020-03-28 09:30:00,479,9693
2020-03-29 08:00:00,548,10878
2020-03-30 08:00:00,606,12277
2020-03-31 08:00:00,690,13136
2020-04-01 08:00:00,736,14132
2020-04-02 08:00:00,826,15259
2020-04-03 08:00:00,899,16535
2020-04-04 08:00:00,999,17926
2020-04-05 08:00:00,1068,19556
2020-04-06 08:00:00,1132,20669
2020-04-07 08:00:00,1181,21826
2020-04-08 08:00:00,1239,23325
2020-04-09 08:00:00,1321,24306
2020-04-10 08:00:00,1371,25853
2020-04-11 08:00:00,1447,27191
2020-04-12 08:00:00,1527,28231
2020-04-13 08:00:00,1584,29537
2020-04-14 08:00:00,1633,30730
2020-04-15 08:00:00,1663,31688
2020-04-16 08:00:00,1736,33202
2020-04-17 08:00:00,1785,34536
2020-04-18 08:00:00,1844,35739
2020-04-19 08:00:00,1910,37128
2020-04-20 08:00:00,1956,38089
2020-04-21 08:00:00,2002,39126
2020-04-22 08:00:00,2059,40488
2020-04-23 08:00:00,2127,41849
